tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
115565	MT	Joshua	6	9	TQ<[	TQW<	TQW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	תקוע		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
115643	MT	Joshua	6	13	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115662	MT	Joshua	6	13	HLK[	HWLK	HWLK			qal	infa		unknown	unknown	verb					nnnn	nnnn	הולך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115664	MT	Joshua	6	13	TQ<[	TQW<	TQW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	תקוע		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
126463	MT	Joshua	23	13	JD<[	JDW<	JDW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ידוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
129562	MT	Judges	4	9	HLK[	HLK	HLK	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הלך		noH	-	-	0	0	0	0	nnn	nnn	first		0
129946	MT	Judges	4	24	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
130281	MT	Judges	5	23	>RR[	>RWR	>RWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ארור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
131951	MT	Judges	7	19	NPY[	NPWY	NPWY	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	נפוץ		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
132661	MT	Judges	8	25	NTN[	NTWN	NTWN	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	נתון		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
